policy,run_dir,seed,execution_mode,lowpass_alpha,interpolation_steps,primary_collision_padding,success_rate,success_ci_low,success_ci_high,smoothness_mean,smoothness_bootstrap_ci_low,smoothness_bootstrap_ci_high,finite_difference_acceleration_mean,squared_jerk_mean,mean_abs_turn_rate,out_of_bounds_rate,min_clearance_padded_success_only,min_clearance_unpadded_success_only,min_clearance_padded_collision_free_only,min_clearance_unpadded_collision_free_only,min_clearance_padded_all_finite_clipped,min_clearance_unpadded_all_finite_clipped,action_target_jump_mean,path_length_mean,collision_rate,collision_rate_padded,collision_rate_unpadded,endpoint_error,hf_residual_energy_absolute_mean,hf_residual_energy_delta_mean,hf_residual_energy_mean,mean_num_model_steps_to_success
cotrain,runs/maze2d_cotrain_seed1_20260701_213343,1,filtered,0.35,4,padded,0.429,0.39807201178637786,0.4603471833389458,25.581762607741414,24.560922405276454,26.72356694144562,14.792200917686339,47400.971358719406,3.2205165616282216,0.006,0.09523465090714921,0.21560654452682504,0.09614775018776037,0.16382501700055685,0.04662510650477594,0.1622420668985535,0.06963029274903237,5.919689671420829,0.487,0.487,0.006,1.1747316795140506,0.014215715873541966,0.6941974785725324,0.6941974785725324,581.1118881118881
cotrain,runs/maze2d_cotrain_seed2_20260701_213343,2,filtered,0.35,4,padded,0.426,0.3951080526222896,0.4573288630343598,22.603100653967584,21.575155139753004,23.72316799387529,13.072482857066142,41899.20836084214,2.919714827772597,0.003,0.08730346061429896,0.20720798928666959,0.09210891890762465,0.16565321824256088,0.048463103513593425,0.1648562585878332,0.06653354553133249,5.881198868505272,0.448,0.448,0.003,1.1704762074351311,0.01350574814448521,0.6847151802182198,0.6847151802182198,572.5305164319249
cotrain,runs/maze2d_cotrain_seed0_20260701_213343,0,filtered,0.35,4,padded,0.402,0.37143810083247897,0.4331406199351503,21.36009357756065,20.38221145916318,22.38726485075027,12.346404432657346,39567.668818990984,2.848016485349456,0.018,0.09295292137119363,0.21252490232447682,0.08936988279419375,0.16330304004392854,0.04378486712754288,0.15856358532313783,0.06598935332335532,5.749697534895655,0.465,0.465,0.018,1.242802979439497,0.013794704544734969,0.6889922428528517,0.6889922428528517,573.8084577114428
sr_freqmask,runs/maze2d_sr_freqmask_seed0_20260701_213343,0,filtered,0.35,4,padded,0.502,0.47054351735400185,0.5334446768141504,33.20142040896462,31.828600035955258,34.732158263248756,19.209935581541632,61553.68846489044,4.626828116724691,0.007,0.08848087171285855,0.2074314650433144,0.08498679387198421,0.16329662905167341,0.046120155728710255,0.16145355264831168,0.0710891443733126,5.98771105534527,0.425,0.425,0.007,1.1500741676688195,0.019055972472149563,0.7158267527553398,0.7158267527553398,582.7171314741036
sr_freqmask_shuffled_clean_stats,runs/maze2d_sr_freqmask_shuffled_clean_stats_seed1_20260701_213343,1,filtered,0.35,4,padded,0.463,0.43174313655264634,0.49447528364059623,33.22659837128126,30.8315615843735,35.82421500384605,19.22344077998052,61602.8986062365,4.141584848739673,0.005,0.08801909317555427,0.2079531314422857,0.08852424223684946,0.16174891364381563,0.04399385533847307,0.16044016907559658,0.07248954927735031,6.019728856261811,0.474,0.474,0.005,1.178380783304572,0.01754512460596277,0.7139969079130242,0.7139969079130242,583.2764578833693
sr_freqmask,runs/maze2d_sr_freqmask_seed2_20260701_213343,2,filtered,0.35,4,padded,0.504,0.4725383563385118,0.5354380319861439,33.62435747775316,31.925501663061826,35.521394056576874,19.449842100105588,62301.75632440476,4.46067024105125,0.0,0.09202541352449413,0.2118754933599498,0.09128866780217731,0.16822669009040664,0.050942478381294384,0.16822669009040664,0.07089058240503072,6.263483240017815,0.419,0.419,0.0,1.1052090700119734,0.019196050483465114,0.7114125465485703,0.7114125465485703,607.1666666666666
sr_freqmask,runs/maze2d_sr_freqmask_seed1_20260701_213343,1,filtered,0.35,4,padded,0.459,0.42777429281953605,0.4904677434996239,33.19644617104042,31.787842385657978,34.67688634389877,19.19297640308056,61480.53951354847,4.2581805323203925,0.007,0.08718608607099916,0.20772006203424415,0.08723883596993201,0.1597862140989264,0.041953736773326686,0.1579677106002339,0.07502363659441472,5.882948051091113,0.486,0.486,0.007,1.3003573334366083,0.017825089547122787,0.7265087214310916,0.7265087214310916,567.0087145969499
sr_freqmask_shuffled_clean_stats,runs/maze2d_sr_freqmask_shuffled_clean_stats_seed2_20260701_213343,2,filtered,0.35,4,padded,0.462,0.4307507384286665,0.49347358571035393,31.333122361427325,29.775985152174584,32.907726255975845,18.13690304652953,58125.94479673972,4.423481610172239,0.001,0.09454405495611287,0.21379278667292437,0.09457958332162925,0.16414037823076663,0.047550925603427927,0.16387623785253583,0.07299942722450942,5.928106773467291,0.472,0.472,0.001,1.2215145615190268,0.01922610173364066,0.71216606719626,0.71216606719626,592.91341991342
sr_freqmask_shuffled_clean_stats,runs/maze2d_sr_freqmask_shuffled_clean_stats_seed0_20260701_213343,0,filtered,0.35,4,padded,0.447,0.41587977279600385,0.4784331181226719,35.24310563772153,33.55375110064993,37.04104960891463,20.38390686261307,65302.555709941276,4.613075178474921,0.006,0.09259147250926544,0.21212078858792321,0.08756816855172658,0.16144957908377353,0.04342676499908549,0.15988088160927086,0.07427168991416692,5.858845049902897,0.468,0.468,0.006,1.2372815672904254,0.020206506920473658,0.7227236134409905,0.7227236134409905,572.17225950783
ambient_sampler_x0_mse,runs/maze2d_ambient_sampler_x0_mse_seed0_20260701_213343,0,filtered,0.35,4,padded,0.315,0.286289721132397,0.34480403108320407,20.229509718788695,19.249480253825723,21.27198647528283,11.693439447312128,37475.97492559524,3.0344930130337913,0.017,0.09568953349045227,0.21690752280466935,0.09162858719108488,0.1502794756076524,0.0315541306041114,0.14602472452232232,0.06948505061119795,5.071116880386595,0.606,0.606,0.017,1.6381916750967502,0.013095671027449384,0.6922758380009036,0.6922758380009036,539.5428571428571
