policy_a,policy_b,paired_trials,success_diff_a_minus_b,success_diff_bootstrap_ci_low,success_diff_bootstrap_ci_high,success_a_only,success_b_only,mcnemar_exact_p,collision_diff_a_minus_b,endpoint_error_diff_a_minus_b,smoothness_both_success_diff_a_minus_b
cotrain,ambient_sampler_x0_mse,3000,0.11,0.081325,0.14133333333333334,685,355,7.873390068642084e-25,-0.13166666666666665,-0.3479069247643153,-0.42284223455915565
cotrain,ambient_scalar_ambient_loss,3000,0.31333333333333335,0.28365833333333335,0.3463333333333333,1012,72,5.0615498271150085e-213,-0.36466666666666664,-1.0423040858060122,-5.712058564516865
cotrain,sr_freqmask,3000,-0.06933333333333333,-0.10333333333333333,-0.029325000000000007,431,639,2.1858168381837699e-10,0.023333333333333334,0.010790098423759142,-10.215834577558741
cotrain,sr_freqmask_shuffled_clean_stats,3000,-0.03833333333333333,-0.058675,-0.017325000000000007,450,565,0.00034130935630112135,-0.004666666666666667,-0.016388681908448537,-9.569113526738512
ambient_sampler_x0_mse,ambient_scalar_ambient_loss,3000,0.20333333333333334,0.16365,0.24533333333333332,689,79,2.237362095424457e-122,-0.233,-0.6943971610416969,-6.4269098383729295
ambient_sampler_x0_mse,sr_freqmask,3000,-0.17933333333333334,-0.222,-0.13266666666666665,287,825,9.100447742218077e-61,0.155,0.35869702318807445,-9.896549371237837
ambient_sampler_x0_mse,sr_freqmask_shuffled_clean_stats,3000,-0.14833333333333334,-0.177675,-0.11831666666666668,299,744,2.396314096336415e-44,0.127,0.33151824285586673,-11.190666628156585
ambient_scalar_ambient_loss,sr_freqmask,3000,-0.38266666666666665,-0.403,-0.3626666666666667,56,1204,1.794695676691852e-281,0.388,1.0530941842297712,-9.38052490977553
ambient_scalar_ambient_loss,sr_freqmask_shuffled_clean_stats,3000,-0.3516666666666667,-0.3793416666666667,-0.3236583333333333,69,1124,2.4195230967660946e-246,0.36,1.0259154038975635,-8.525607584321557
sr_freqmask,sr_freqmask_shuffled_clean_stats,3000,0.031,-0.005333333333333333,0.06433333333333334,553,460,0.0038240633699622353,-0.028,-0.02717878033220768,0.9043980630410257
