policy_a,policy_b,paired_trials,success_diff_a_minus_b,success_diff_bootstrap_ci_low,success_diff_bootstrap_ci_high,success_a_only,success_b_only,mcnemar_exact_p,collision_diff_a_minus_b,endpoint_error_diff_a_minus_b,smoothness_both_success_diff_a_minus_b
cotrain,ambient_sampler_x0_mse,3000,0.12233333333333334,0.09465833333333333,0.14734166666666668,781,414,1.368590801324154e-26,-0.12366666666666666,-0.2869203693121672,-8.987038540099512
cotrain,ambient_scalar_ambient_loss,3000,0.40166666666666667,0.37966666666666665,0.423,1298,93,3.165299258667061e-272,-0.425,-1.189322324273487,-97.08265173166235
cotrain,sr_freqmask,3000,-0.013,-0.042333333333333334,0.014674999999999992,552,591,0.2610103067887524,-0.023666666666666666,-0.11631122978776694,-212.59498852755422
cotrain,sr_freqmask_shuffled_clean_stats,3000,-0.004333333333333333,-0.027,0.018674999999999994,567,580,0.7231136077741607,-0.03866666666666667,-0.11494116086761157,-237.25026016815812
ambient_sampler_x0_mse,ambient_scalar_ambient_loss,3000,0.2793333333333333,0.250325,0.3073416666666667,942,104,1.5553911006730842e-169,-0.30133333333333334,-0.9024019549613198,-80.32542192832378
ambient_sampler_x0_mse,sr_freqmask,3000,-0.13533333333333333,-0.17333333333333334,-0.09199166666666667,385,791,8.140131608924495e-33,0.1,0.17060913952440024,-190.6796686552363
ambient_sampler_x0_mse,sr_freqmask_shuffled_clean_stats,3000,-0.12666666666666668,-0.15300833333333333,-0.09966666666666667,402,782,1.1045773166143722e-28,0.085,0.1719792084445556,-221.52683913347255
ambient_scalar_ambient_loss,sr_freqmask,3000,-0.4146666666666667,-0.4393416666666667,-0.3876583333333333,85,1329,7.810254203152882e-288,0.4013333333333333,1.07301109448572,-160.51335539021827
ambient_scalar_ambient_loss,sr_freqmask_shuffled_clean_stats,3000,-0.406,-0.42633333333333334,-0.3836583333333333,74,1292,5.6087495421752585e-288,0.3863333333333333,1.0743811634058753,-185.87120026869914
sr_freqmask,sr_freqmask_shuffled_clean_stats,3000,0.008666666666666666,-0.023333333333333334,0.038,528,502,0.4360113353699502,-0.015,0.0013700689201553663,-13.854444809780162
