policy,run_dir,seed,execution_mode,lowpass_alpha,interpolation_steps,primary_collision_padding,success_rate,success_ci_low,success_ci_high,smoothness_mean,smoothness_bootstrap_ci_low,smoothness_bootstrap_ci_high,finite_difference_acceleration_mean,squared_jerk_mean,mean_abs_turn_rate,min_clearance_padded_mean,min_clearance_unpadded_mean,action_target_jump_mean,path_length_mean,collision_rate,collision_rate_padded,collision_rate_unpadded,endpoint_error,hf_residual_energy_mean,mean_num_model_steps_to_success
cotrain,runs/maze2d_cotrain_seed1_20260701_213343,1,raw,0.35,4,padded,0.478,0.44664404376246664,0.5094858229536978,118.19470602407428,110.92163324487917,126.35320591174892,68.5681424360395,219724.6491484702,5.459587168992813,-inf,-inf,0.06496805127710104,6.521712280716358,0.469,0.469,0.011,1.1261455474048854,0.7335215669605822,464.6464435146444
cotrain,runs/maze2d_cotrain_seed2_20260701_213343,2,raw,0.35,4,padded,0.516,0.4845177802207623,0.5473877721454373,105.10114199639422,101.00378351082523,108.79592694006348,60.91401735017466,195172.28707909398,4.840203310168067,-inf,-inf,0.06357171514630318,6.725640719713167,0.387,0.387,0.009,1.0002359622567891,0.7406365462409158,466.26162790697674
cotrain,runs/maze2d_cotrain_seed0_20260701_213343,0,raw,0.35,4,padded,0.5,0.46854917297179194,0.531450827028208,108.63171490852544,103.15427859468986,114.55589151059252,63.012366550445556,201974.561234375,4.904760897159576,-inf,-inf,0.06448898774199188,6.44645152425766,0.41,0.41,0.024,1.0406603598743678,0.7472755933470034,460.986
sr_freqmask,runs/maze2d_sr_freqmask_seed0_20260701_213343,0,raw,0.35,4,padded,0.526,0.4945142544123377,0.5573322655259105,331.9511477693119,315.17054672860064,350.33302728277243,192.52880404657284,616830.2959244297,8.456729210374926,-inf,-inf,0.071895952206105,7.4425568240677,0.431,0.431,0.012,1.1056406084150077,0.7884699470665509,462.39923954372625
sr_freqmask_shuffled_clean_stats,runs/maze2d_sr_freqmask_shuffled_clean_stats_seed1_20260701_213343,1,raw,0.35,4,padded,0.516,0.4845177802207623,0.5473877721454373,310.9982190945418,293.6729064956756,333.37002156308375,180.4885957998823,578418.0571402616,8.248927952707277,-inf,-inf,0.07460176102630794,7.101792079995769,0.446,0.446,0.013,1.1479720008224248,0.7867447253598221,451.05232558139534
sr_freqmask,runs/maze2d_sr_freqmask_seed2_20260701_213343,2,raw,0.35,4,padded,0.529,0.49751561570777664,0.5603131938263564,343.12823013305683,321.0615419519373,366.0937235216638,199.07532247388295,637904.5873700378,8.11286716289917,-inf,-inf,0.07290120260789991,7.342641087245401,0.426,0.426,0.002,1.0840137035995723,0.7883029171493545,471.16446124763706
sr_freqmask,runs/maze2d_sr_freqmask_seed1_20260701_213343,1,raw,0.35,4,padded,0.511,0.4795241884209003,0.5424108791915636,320.00075584513013,301.8627235122744,337.84069446861935,185.77340199569434,595596.8267795988,7.892336612111668,-inf,-inf,0.07472392505034804,7.090044314614014,0.461,0.461,0.016,1.1990601276010275,0.789846514509787,446.706457925636
sr_freqmask_shuffled_clean_stats,runs/maze2d_sr_freqmask_shuffled_clean_stats_seed2_20260701_213343,2,raw,0.35,4,padded,0.505,0.4735359613150015,0.5364345240798916,346.4122910387382,328.8872136024269,363.63587744261156,201.02666894893835,643974.061509901,8.480403308113022,-inf,-inf,0.07204967900179327,7.290619355381125,0.449,0.449,0.007,1.1353198184669018,0.7797683202292974,457.5188118811881
sr_freqmask_shuffled_clean_stats,runs/maze2d_sr_freqmask_shuffled_clean_stats_seed0_20260701_213343,0,raw,0.35,4,padded,0.493,0.4615728627540435,0.5244684577338623,399.1933607296599,372.8312087734187,426.9301837031534,231.40233652296703,741703.5346412272,8.494424831552873,-inf,-inf,0.07500844004563988,7.2082433478102,0.459,0.459,0.018,1.1604918023720383,0.7968165734343639,441.6997971602434
ambient_sampler_x0_mse,runs/maze2d_ambient_sampler_x0_mse_seed0_20260701_213343,0,raw,0.35,4,padded,0.399,0.36848462811503946,0.43011182413134885,129.57345426651543,123.43744372291168,136.12250007130356,75.21638059496581,241122.52110745615,5.327838610288195,-inf,-inf,0.06750034335814416,6.015404191531036,0.526,0.526,0.025,1.3711004135012628,0.7551005880633748,443.3734335839599
ambient_sampler_x0_mse,runs/maze2d_ambient_sampler_x0_mse_seed1_20260701_213343,1,raw,0.35,4,padded,0.401,0.3704534785094145,0.43213115259133134,119.53582778737557,114.53722129559772,124.65600091761229,69.23045519403091,221663.74583073566,4.866823990148796,-inf,-inf,0.0685931066405028,5.966889035374743,0.545,0.545,0.024,1.3949388133883476,0.7443646469712403,427.8453865336658
ambient_sampler_x0_mse,runs/maze2d_ambient_sampler_x0_mse_seed2_20260701_213343,2,raw,0.35,4,padded,0.395,0.36454850899698393,0.42607158751299457,117.01185180528893,110.21806487969435,124.96278983259239,67.93360546691508,217808.2310818829,4.815209998360163,-inf,-inf,0.06561750649474561,6.135042007663582,0.485,0.485,0.013,1.2049969452619553,0.7483461724056105,447.1240506329114
ambient_scalar_ambient_loss,runs/maze2d_ambient_scalar_ambient_loss_seed1_20260701_213343,1,raw,0.35,4,padded,0.111,0.092197907204191,0.13212606175869215,179.58502958028566,166.6887163022766,195.1442111144902,104.2372473639411,334435.45016891893,5.079033252355215,-inf,-inf,0.07364765303023159,3.627625304299432,0.829,0.829,0.027,2.2527911674678327,0.7574582716888836,306.8288288288288
